id,name,category_external_id,category_name,location_external_id,location_name,default_listing_type,default_state,attribute_mappings,description_filter,title_template,description_template
1,Tyre,940,"Gume za automobile",133,"Sarajevo - Centar",sell,new,,"[""namjena"",""sirina"",""profil"",""promjer"",""sezona"",""klasa"",""brend"",""profil_gume"",""index_nosivosti"",""indeks_brzine"",""stari_dot"",""oznaka_ms"",""brand""]","{brend} {title} Zimske Gume",
2,Batteries,1446,"Akumulatori za automobile",133,"Sarajevo - Centar",sell,new,"{""5078"":""extract:Kapacitet baterije"",""2513"":""extract:Vrsta održavanja"",""2515"":"""",""2514"":""""}","[""Namjena"",""Primjena"",""Kapacitet baterije"",""Struja hladnog starta"",""Proizvođač akumulatora"",""Tip akumulatora"",""Polaritet akumulatora"",""Vrsta održavanja"",""Tip"",""Dužina"",""Širina"",""Visina"",""Vrsta klema"",""Težina akumulatora"",""Vrsta učvršćivanja akumulatora"",""Nazivni napon"","""",""""]","{proizvodac_akumulatora} Akumulator {title} {tip_akumulatora} {kapacitet_baterije}",
3,"Motor Oil",1455,"Ulja za automobile",133,"Sarajevo - Centar",sell,new,"{""2540"":""fixed:Ostalo"",""2542"":"""",""2541"":""""}","[""Naziv"",""Proizvođač"",""Viskozitet"",""Kapacitet"",""Norma"",""API specifikacija"",""ACEA specifikacija"",""Linija proizvoda"",""Podjela piktograma"",""Namjena"","""","""","""",""""]","{naziv} {viskozitet} {proizvodac} {title}",
4,"Mobiteli - No Location (Auto-created from sync)",31,Mobiteli,,,sell,none,,,,
5,"Kuhinjski pribor - No Location (Auto-created from sync)",731,"Kuhinjski pribor",,,sell,new,,,,
6,"Dijelovi i oprema za motorne pile (Motorke) - No Location (Auto-created from sync)",2553,"Dijelovi i oprema za motorne pile (Motorke)",,,sell,new,,,,
7,"Špule volana za automobile - No Location (Auto-created from sync)",2460,"Špule volana za automobile",,,sell,used,,,,
8,"Automobili - No Location (Auto-created from sync)",18,Automobili,,,sell,used,,,,
9,"Kvačila za automobile - No Location (Auto-created from sync)",1474,"Kvačila za automobile",,,sell,used,,,,
10,"Muški parfemi - No Location (Auto-created from sync)",1370,"Muški parfemi",,,sell,new,,,,
11,"Stanovi i apartmani - No Location (Auto-created from sync)",23,"Stanovi i apartmani",,,rent,used,,,,
12,"Veš mašine i Sušilice - No Location (Auto-created from sync)",1887,"Veš mašine i Sušilice",,,sell,used,,,,
13,"Laptopi - No Location (Auto-created from sync)",39,Laptopi,,,sell,used,,,,
