external_id,name,slug,parent_external_id,has_shipping,has_brand,metadata
2439,Balans štange za automobile,,929,0,0,
2441,Motorići i klapne grijanja za automobile,,929,0,0,
2445,"Kopče, žabice i spojke za automobile",,929,0,0,
2450,Ručne kočnice za automobile,,929,0,0,
2451,Display/Ekran za automobile,,929,0,0,
2452,Distanceri za automobile,,929,0,0,
2453,Roletne/daske gepeka za automobile,,929,0,0,
2456,Poklopci/Zaštite motora za automobile,,929,0,0,
2457,ATV / UTV / Quad,atv-utv-quad,1,0,0,
2458,Sigurnosni pojasevi za automobile,,929,0,0,
2459,Nosači/Grede branika za automobile,,929,0,0,
2460,Špule volana za automobile,,929,0,0,
2462,Cerade za automobile,,929,0,0,
2463,Makaze i držači haube za automobile,,929,0,0,
2466,Kutije za satove i nakit,kutije-za-satove-i-nakit,68,0,0,
2467,Broševi i bedževi,brosevi-i-bedzevi,68,0,0,
2472,Birači brzina za automobile,,929,0,0,
2477,Razvodnici paljenja za automobile,,929,0,0,
2478,Tablice za vozila,tablice-za-vozila,435,0,0,
2483,Baglame vrata za automobile,,929,0,0,
2485,Dekla motora za automobile,,929,0,0,
2488,Nosači farova za automobile,,929,0,0,
2489,Nosači alternatora za automobile,,929,0,0,
2491,"ECU jedinice, procesori i kompjuteri za automobile",,929,0,0,
2497,Paketi proizvoda,paketi-proizvoda,896,0,0,
2500,Žetoni,zetoni,435,0,0,
2502,Uređaji za zagrijavanje duhana,uredjaji-za-zagrijavanje-duhana,14,0,0,
2516,Graničnici vrata za automobile,,929,0,0,
2517,Poklopci i čepovi rezervoara za automobile,,929,0,0,
2518,"Šprice, brisači i motorići farova za automobile",,929,0,0,
2520,Nosači i plastike akumulatora za automobile,,929,0,0,
2524,"Kristali, drago i poludrago kamenje",kristali-drago-i-poludrago-kamenje,68,0,0,
2530,Vitla za automobile,,929,0,0,
2531,Ikone i levhe,ikone-i-levhe,69,0,0,
2541,Električne cigarete,elektricne-cigarete,14,0,0,
2543,Smart sistemi,smart-sistemi,14,0,0,
2548,Umjetne trepavice,umjetne-trepavice,276,0,0,
2549,Sirene i tasteri za automobile,,929,0,0,
2551,Zaštitne maske i rukavice,zastitne-maske-i-rukavice,276,0,0,
2553,Dijelovi i oprema za motorne pile (Motorke),dijelovi-i-oprema-za-motorne-pile-motorke,225,1,0,"{\""id\"":2553,\""name\"":\""Dijelovi i oprema za motorne pile (Motorke)\"",\""name_singular\"":\""Dijelovi i oprema za motorne pile (Motorke)\"",\""slug\"":\""dijelovi-i-oprema-za-motorne-pile-motorke\"",\""parent_id\"":225,\""order\"":36,\""desktop_order\"":0,\""top_category\"":false,\""highlighted\"":false,\""shipping_available\"":true,\""sensitive_content\"":false,\""post_option\"":null,\""show_price\"":true,\""show_brand\"":false,\""brand_required\"":false,\""model_required\"":false,\""has_models\"":false,\""show_condition\"":true,\""show_map\"":false,\""listing_fee\"":0,\""booking_enabled\"":false,\""base_listing_price\"":5,\""sub_categories\"":[],\""icon\"":null,\""show_stories\"":false}"
2554,Plakete,plakete,435,0,0,
2556,Lupe/povećala,lupe-povecala,14,0,0,
2560,Oprema za pakovanje,oprema-za-pakovanje,224,0,0,
2562,Montesori za djecu,montesori-za-djecu,283,0,0,
2569,Nosači hladnjaka za automobile,,929,0,0,
2570,Nosači ventilatora za automobile,,929,0,0,
2571,Manžetne za automobile,,929,0,0,
2576,Nosači osovina za automobile,,929,0,0,
2580,Blende za radio automobila,,929,0,0,
2583,Vandleri za automobile,,929,0,0,
2589,Motori šibera za automobile,,929,0,0,
2592,Industrijske grijalice/Topovi,industrijske-grijalice-topovi,224,0,0,
2593,Teleskopi i oprema,teleskopi-i-oprema,14,0,0,
2594,Poštanska sandučad,postanska-sanducad,701,0,0,
2595,Docking stations,docking-stations,5,0,0,
2598,Vakumi turbina za automobile,,929,0,0,
2600,Oprema za mining rigove,oprema-za-mining-rigove,5,0,0,
2602,Grafički tableti,graficki-tableti,5,0,0,
2603,Mjerači i šipke ulja za automobile,,929,0,0,
2623,Nosači blatobrana za automobile,,929,0,0,
2624,Nosači auspuha za automobile,,929,0,0,
2629,Snorkel za automobile,,929,0,0,
2633,Aparati / Varilice za pakovanja,aparati-varilice-za-pakovanja,224,0,0,
2639,Vakum boca za automobile,,929,0,0,
2644,Moduli airbegova za automobile,,929,0,0,
2655,Filteri za vodu,"",701,0,0,
2656,Potražnja,potraznja,328,0,0,
2657,Poklanjam (darujem),poklanjam-darujem,328,0,0,
2661,Rezervni točkovi za automobile,,929,0,0,
2662,Dijelovi i oprema za dronove,"",14,0,0,
2664,Punjači za električna vozila,,929,0,0,
2668,Stan na dan,"",2,0,0,
2672,Skladišta i hale,skladista-i-hale,2,0,0,
2675,"Ulja, maziva i boje",ulja-maziva-i-boje,224,0,0,
2678,Gnijezda za bebe,"",371,0,0,
2679,Hranilice za bebe,"",371,0,0,
2680,Ljulje za bebe,"",371,0,0,
2681,Podloge za bebe,"",371,0,0,
2682,Izdajalice za mlijeko,izdajalice-za-mlijeko,371,0,0,
2683,Torbe za mame,torbe-za-mame,371,0,0,
2684,Noše za bebe,"",371,0,0,
2685,Monitori za bebe,"",371,0,0,
2686,Kadice za bebe,"",371,0,0,
2687,Flašice/cucle,"",371,0,0,
2688,Njega za bebe,"",371,0,0,
2690,Dekice za bebe,"",371,0,0,
2691,Igraonice za bebe,"",371,0,0,
2692,Siperak za bebe,"",371,0,0,
